Index,Name,URL,Party Affiliation,Sentence Count,Positive Sentence Count,Negative Sentence Count,Achievements,Criticisms,Bias Score
89,Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,Independent,670,0,1,5,3,1
90,Peter Welch,https://en.wikipedia.org/wiki/Peter_Welch,Democratic,108,0,0,0,1,-1
91,Mark Warner,https://en.wikipedia.org/wiki/Mark_Warner,Democratic,248,0,0,9,0,9
92,Tim Kaine,https://en.wikipedia.org/wiki/Tim_Kaine,Democratic,534,0,6,6,3,-3
93,Patty Murray,https://en.wikipedia.org/wiki/Patty_Murray,Democratic,168,0,0,2,1,1
94,Maria Cantwell,https://en.wikipedia.org/wiki/Maria_Cantwell,Democratic,207,0,0,0,2,-2
95,Joe Manchin,https://en.wikipedia.org/wiki/Joe_Manchin,Independent,457,1,0,5,2,4
96,Shelley Moore Capito,https://en.wikipedia.org/wiki/Shelley_Moore_Capito,Republican,265,0,0,1,1,0
97,Ron Johnson,https://en.wikipedia.org/wiki/Ron_Johnson,Republican,273,1,0,1,5,-3
98,Tammy Baldwin,https://en.wikipedia.org/wiki/Tammy_Baldwin,Democratic,231,0,0,3,0,3
99,John Barrasso,https://en.wikipedia.org/wiki/John_Barrasso,Republican,109,0,0,0,0,0
100,Cynthia Lummis,https://en.wikipedia.org/wiki/Cynthia_Lummis,Republican,182,0,0,0,0,0
